Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Aruba,ABW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08,,,6.45,,,7.45,,,6.92,6.9,,,,,,5.71,,,10.6,8.9,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.495,,,,1.692,,7.915,,,11.184,,,11.71,5.679,,,
Africa Western and Central,AFW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35626084714829,,,6.99177087829801,,7.12058378190974,,,3.0314369097954,,
Angola,AGO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,14.2,14.9,18.9,,,,,,,,,,,,,,,,,,23.643,,,,,3.782,9.43,16.77,,,9.579,,,,,16.497,,15.799,,,
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,5.6,5.1,3.6,4.4,5.7,6.7,6.4,6.1,7,7.3,9.5,9.1,26.5,22.3,18.4,12.9,12.3,14.9,17.7,18.4,16.8,16.4,4.615,15,14.4,6.566,13.8,15.966,13.06,13.674,14.086,13.481,13.376,15.866,18.055,17.193,15.418,13.616,12.304,11.466,11.69,11.474,,,
Andorra,AND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1738888833477,10.2703840035187,9.61351496160808,9.94512231653633,9.46714528034861,9.20955005998674,,10.5607422381452,,10.7215645603588,,9.62934912767634,,,,,,,,
United Arab Emirates,ARE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,1.96,,,,,,,,,,1.15,,,,,,,,,,1.8,,,,,2.25,,,,,3.12,,,,,,,,,,,1.64,2.462,2.236,2.331,4.294,3.105,2.873,2.151,
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,4.8,6,6.6,5.6,3.4,2.3,4.5,2.8,2.8,2,2.3,4.5,4.73,4.17,3.54,5.3,4.4,5.3,6,7.3,7.06,5.44,6.36,10.1,11.76,18.8,17.11,14.82,12.65,14.05,15,17.32,19.59,15.36,13.522,11.506,10.078,8.47,7.837,8.645,7.714,7.18,7.217,7.1,7.268,,,8.347,9.221,9.843,11.461,8.736,6.805,6.139,
